Code: TATAMOTORS
Link: https://query1.finance.yahoo.com/v7/finance/options/TATAMOTORS.BO

All values in multiples of ,INR,1

BALANCE SHEETS

Date                          ,  2009-03,  2010-03,  2011-03,  2012-03,  2013-03,  2014-03,  2015-03,  2016-03,  2017-03,  2018-03,  2019-03,  2020-03,  2020-09

TaxesCurrent                  ,183000000,-682000000,226000000,-2234000000,148000000,459000000,838000000,-388000000,581000000,2255000000,-500000000,1261000000
Pat                           ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000

Pat                           ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000
NetIncome                     ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000

NetIncome                     ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000
ContributionRetainedEarnings  ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000

NetIncome                     ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000
TotalComprehensiveIncome      ,2125000000,-1902000000,-1049000000,-26993000000,1117000000,-3698000000,-217000000,1738000000,-9894000000,-8438000000,-314000000,2906000000



CASH FLOW - QUARTERLY

Begin Date                    ,  2017-12,  2018-03,  2018-06,  2018-09,  2018-12,  2019-03,  2019-06,  2019-09,  2019-12,  2020-03,  2020-06,  2020-09
End Date                      ,  2018-03,  2018-06,  2018-09,  2018-12,  2019-03,  2019-06,  2019-09,  2019-12,  2020-03,  2020-06,  2020-09,  2020-12

ChangeCurrentLiabilities      ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
AdjustmentsRetainedEarnings   ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
ChangeCurrentAssets           ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
ChangeLongTermAssets          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
CashFlowOperations            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         

ChangePPE                     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
ChangeInvestments             ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
CashFlowInvestments           ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         

StockSalesAndPurchase         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
ChangeDebt                    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
CashFlowInterests             ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
CashFlowFinancing             ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         

CashFlowOperations            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
CashFlowInvestments           ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
CashFlowFinancing             ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
NetCashFlow                   ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         

